Ns,FD,Time
"Stock Price: 50, Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167, BlackScholes Value: 4.076100608769622",,
10,5.7406230036879755,507.11631774902344
11,4.882832590490642,304.22210693359375
12,2.7766771915591932,286.102294921875
13,4.404403054554031,271.79718017578125
14,4.893051734096739,274.89662170410156
15,4.470438666872746,267.98248291015625
16,3.307425430401204,267.02880859375
17,4.241829217847781,264.88304138183594
18,4.537122902643785,264.88304138183594
19,4.294218606260067,272.0355987548828
20,3.5938460258735705,267.02880859375
21,4.178316944516869,270.1282501220703
22,4.365611830949699,266.07513427734375
23,4.207536254590782,268.9361572265625
24,3.747261523289078,270.843505859375
25,4.143828825314781,267.02880859375
26,4.271216016417169,267.98248291015625
27,4.159331997809924,271.08192443847656
28,3.8338129705333746,275.3734588623047
29,4.1210901792487284,275.3734588623047
30,4.213475307983167,271.3203430175781
31,4.129828880605802,272.98927307128906
32,3.8866538555021113,271.79718017578125
33,4.10503757237677,269.17457580566406
34,4.17539892703999,277.2808074951172
35,4.1104255505384835,685.2149963378906
36,3.9213953371359733,288.96331787109375
37,4.093370772210817,276.0887145996094
38,4.148907048205524,284.9102020263672
39,4.096961023510849,284.9102020263672
40,3.9455938706785068,281.0955047607422
41,4.084692662374501,281.0955047607422
42,4.1297157163191,288.0096435546875
43,4.087226456076353,281.0955047607422
44,3.9631916303408574,278.9497375488281
45,4.0780921262758465,281.0955047607422
46,4.1153621905362225,286.102294921875
47,4.079956957058659,285.14862060546875
48,3.9764186319517836,288.0096435546875
49,4.072966688188256,288.0096435546875
50,4.104343807022303,288.0096435546875
51,4.074383573007015,284.9102020263672
52,3.986624679575998,285.86387634277344
53,4.068912112335071,287.05596923828125
54,4.095700178662362,295.1622009277344
55,4.070016116726858,293.0164337158203
56,3.994670933399795,292.06275939941406
57,4.065651688671919,290.6322479248047
58,4.088793820925793,296.1158752441406
59,4.0665298025182794,302.0763397216797
60,4.001129940982444,292.06275939941406
61,4.062991809677642,281.8107604980469
62,4.083187934062091,282.7644348144531
63,4.0637023971982265,284.9102020263672
64,4.006395276957047,295.1622009277344
65,4.060794094123885,290.15541076660156
66,4.078575007701278,312.80517578125
67,4.061377625312628,307.0831298828125
68,4.010745107074078,293.731689453125
69,4.058957659320905,294.9237823486328
70,4.074733425540527,302.0763397216797
71,4.059442974156642,297.0695495605469
72,4.014380730902729,298.0232238769531
73,4.057407625043973,308.990478515625
74,4.071500176162389,298.9768981933594
75,4.057815757978901,303.03001403808594
76,4.0174508298080465,308.990478515625
77,4.056087499894847,307.0831298828125
78,4.0687531773535355,308.03680419921875
79,4.0564341024104955,305.17578125
80,4.020067203280791,306.12945556640625
81,4.054954034049127,315.1893615722656
82,4.066399526357801,308.990478515625
83,4.055250957500541,314.2356872558594
84,4.022315258233268,316.1430358886719
85,4.053973671398775,319.2424774169922
86,4.064367507937571,318.28880310058594
87,4.054230029112639,318.0503845214844
88,4.0242611661295715,320.9114074707031
89,4.0531200598899675,324.9645233154297
90,4.062601045997079,324.7261047363281
91,4.053342956571346,340.9385681152344
92,4.025956848423621,324.9645233154297
93,4.0523722753777625,345.9453582763672
94,4.061055780223126,331.878662109375
95,4.052567318394721,333.0707550048828
96,4.0274435138510905,336.8854522705078
97,4.051713535154207,923.8719940185547
98,4.059696245415758,478.98292541503906
99,4.051885199515794,470.16143798828125
100,4.028754210139172,468.0156707763672
101,4.05113025306888,450.13427734375
102,4.058493812843816,465.15464782714844
103,4.051282146254894,469.9230194091797
104,4.029915692524152,391833.0669403076
105,4.050611336571669,306297.77908325195
106,4.057425167004579,296406.0306549072
107,4.050746393550392,299832.1056365967
108,4.030949810761535,321302.1755218506
109,4.0501476575022295,308037.04261779785
110,4.056471164295965,318438.0531311035
111,4.050268286276455,314411.87858581543
112,4.031874551608329,189867.0196533203
113,4.049731649289847,316092.96798706055
114,4.055615967917323,302286.86332702637
115,4.049839840857382,297807.2166442871
116,4.032704831360559,274563.7893676758
117,4.049356997235637,320834.6366882324
118,4.054846385125587,307782.1731567383
119,4.04945440960145,303793.90716552734
120,4.033453104748593,296755.0754547119
121,4.0490183981056616,314243.0782318115
122,4.054151354486577,297641.0388946533
123,4.049106421134667,306594.8486328125
124,4.034129837317648,292139.05334472656
125,4.048711371874035,290822.02911376953
126,4.053521545529675,293578.8631439209
127,4.048791177833412,318534.85107421875
128,4.034743875223173,294422.86491394043
129,4.0484321130867365,285936.8324279785
130,4.052949043493462,299744.8444366455
131,4.048504696385117,290277.00424194336
132,4.035302737159772,316450.1190185547
133,4.048177372601518,324217.0810699463
134,4.052427099097797,313712.12005615234
135,4.048243581291856,294707.2982788086
136,4.035812846631528,291352.0336151123
137,4.047944362815278,299706.69746398926
138,4.0519499284490035,285425.90141296387
139,4.048004923760414,159071.9223022461
