iterations,MC,Time
"Stock Price: 50, Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167, BlackScholes Value: 4.076100608769622",,
114,4.133782987916813,77.72445678710938
123,4.805271709166389,52.928924560546875
131,5.434270301367563,52.928924560546875
141,3.9439648896851462,52.928924560546875
151,4.607886024289503,54.12101745605469
162,3.3043260738217684,55.789947509765625
173,3.5895106129617,59.1278076171875
186,3.8289446872736397,63.18092346191406
199,4.446090499931662,65.08827209472656
213,3.2772725440814847,69.85664367675781
229,3.702993662459948,73.90975952148438
245,3.650918846697104,78.2012939453125
263,3.9559647625149887,83.20808410644531
281,3.5436678234382657,87.02278137207031
301,4.046881424994746,91.79115295410156
323,3.6689538131735566,100.85105895996094
346,4.219650738590854,103.95050048828125
371,4.447280247776478,112.05673217773438
398,4.031249200479788,118.97087097167969
426,3.5589851335417864,124.93133544921875
457,4.183437041304029,135.89859008789062
489,3.9772892108459623,142.09747314453125
524,3.877003961710857,153.06472778320312
562,4.135345688867203,165.70091247558594
602,3.960295110207275,172.13821411132812
645,4.059028797139449,183.8207244873047
691,4.119595185847242,197.88742065429688
741,4.085022096638921,211.0004425048828
794,4.232060847513778,222.92137145996094
851,4.109528601978641,239.1338348388672
912,3.848550137405687,257.9689025878906
977,3.919990008180344,274.89662170410156
1047,3.837108416923195,290.15541076660156
1122,3.937999941799606,311.13624572753906
1202,4.269733283784643,336.8854522705078
1288,4.024879582471113,359.7736358642578
1380,3.9982162688735703,380.0392150878906
1479,4.113864308406292,411.74888610839844
1584,4.0548145705776815,433.92181396484375
1698,3.958164855289778,462.7704620361328
1819,4.274892284471609,494.0032958984375
1949,4.040066483267082,530.9581756591797
2089,4.146559979948724,561.2373352050781
2238,4.265383996170149,603.9142608642578
2398,4.119708725801431,642.0612335205078
2570,4.1273979143344794,684.0229034423828
2754,3.979438662522737,729.0840148925781
2951,4.076525219043311,776.2908935546875
3162,4.080931418275588,828.0277252197266
3388,4.082651600997408,879.7645568847656
3630,3.99685691124871,912.9047393798828
3890,3.995879597007475,1000.8811950683594
4168,4.1802259779389574,1082.1819305419922
4466,4.01113050936225,1117.9447174072266
4786,4.03983615551963,1202.8217315673828
5128,4.116353447732594,1292.2286987304688
5495,4.097771776282778,1382.1125030517578
5888,4.174677384031196,1471.0426330566406
6309,4.145563992762591,1579.0462493896484
6760,3.981381406017063,1686.8114471435547
7244,4.202661530870529,1804.8286437988281
7762,4.082739085730991,1957.8933715820312
8317,4.009283266236988,2115.964889526367
8912,4.035760766858161,2264.0228271484375
9549,4.015805808292715,2474.069595336914
10232,4.16928103349001,2605.915069580078
10964,3.9750331480605197,2784.0137481689453
11748,4.1007392666979845,2967.1192169189453
12589,4.124252242466982,3177.165985107422
13489,4.117147452994863,3347.3968505859375
14454,4.04200546901103,3591.299057006836
15488,4.00381182906621,3937.0059967041016
16595,4.064764622655515,4222.869873046875
17782,4.156160097938978,4487.9913330078125
19054,4.082415143774452,4842.042922973633
20417,4.049505000459738,5151.987075805664
21877,4.0184436296478605,5516.05224609375
23442,4.086106822944479,5971.9085693359375
25118,4.04576995916804,6367.921829223633
26915,4.073888358952926,6814.002990722656
28840,4.119255345112083,7398.843765258789
30902,4.089438037412642,7822.990417480469
33113,4.055247531835237,8549.928665161133
35481,4.080785319384265,8980.035781860352
38018,4.087886185104786,9670.97282409668
40738,4.098435881543009,10183.81118774414
43651,4.051552792681105,11077.880859375
46773,4.108608338895058,11867.046356201172
50118,4.151516031466082,12748.956680297852
53703,4.073331529441222,13634.204864501953
57543,4.062760469254914,14433.860778808594
61659,4.087748235569388,15727.043151855469
66069,4.06058698931555,16782.99903869629
70794,4.093545741956381,18013.23890686035
75857,4.090460274284611,19226.789474487305
81283,4.067778159629318,20796.06056213379
87096,4.072529295380214,22200.10757446289
93325,4.069458108156794,23769.855499267578
100000,4.094162785395411,25557.04116821289
107151,4.06818074993339,27405.0235748291
114815,4.05803470222563,29206.037521362305
123026,4.0676555082514225,31420.94612121582
131825,4.0491375542486265,33489.94255065918
141253,4.060508364620289,35951.852798461914
151356,4.076905870921571,38783.07342529297
162181,4.080728859388337,41614.05563354492
173780,4.095044433290438,44630.05065917969
186208,4.082011093315616,47662.01972961426
199526,4.082230578582894,51316.97654724121
213796,4.07675061061648,55066.10870361328
229086,4.092646818328584,58849.09629821777
245470,4.081016076280963,63099.86114501953
263026,4.077738603342591,67488.19351196289
281838,4.077274817372273,72150.94566345215
301995,4.07767394394485,78380.10787963867
323593,4.075321189986791,83196.87843322754
346736,4.062142251933894,89537.8589630127
371535,4.071839570853901,95693.82667541504
398107,4.07463034160197,102371.9310760498
426579,4.0665530356781066,110381.1264038086
457088,4.077676171367877,119124.8893737793
489778,4.075792410032741,127484.79843139648
524807,4.074408212504672,136312.00790405273
562341,4.074141189581305,146075.96397399902
602559,4.076640142530105,159897.0890045166
645654,4.069557213426552,163511.7530822754
691830,4.078384342087572,176924.9439239502
741310,4.084234925048232,191554.06951904297
794328,4.076656360241404,201859.9510192871
851138,4.071411627688624,218032.8369140625
912010,4.0802581517836405,234026.90887451172
977237,4.076618555116459,249629.97436523438
1047128,4.068686459555561,270863.0561828613
1122018,4.085115540639191,293159.96170043945
1202264,4.075579047364161,312602.04315185547
1288249,4.07627675303239,337896.10862731934
1380384,4.075046918106078,359928.1311035156
1479108,4.068051948794503,384268.99909973145
1584893,4.06936104485866,404968.9769744873
1698243,4.075813915221179,440736.7706298828
1819700,4.081824387441336,467197.8950500488
1949844,4.071140299677716,500952.95906066895
2089296,4.0695024184060635,544943.3326721191
2238721,4.080075719993801,584098.8159179688
2398832,4.078016622584615,616641.0446166992
2570395,4.0787234141635675,658900.0225067139
2754228,4.077049912831845,711942.195892334
2951209,4.0659273723895515,770765.7814025879
3162277,4.074371217119404,827739.953994751
3388441,4.071132356595367,867296.9341278076
